essay,domain1_score,cleaned_essay
" They say laughter is the best kind of medicine their is. So to tell you the truth on that qoate I will tell you a true story on laughter and how its a medicine. I already have recognized in believing it my self. I also will explain its key element in part of the world. So to start us off I will tell you a story that has laughter in which fixed a few ed between my grandpa @CAPS1 and my cousin @PERSON1. To start off it had happened about some time during the @DATE1. We were all having a blast. There was my cousins @PERSON2, @PERSON4, and his little brother @PERSON3, @PERSON1 and I. So @PERSON2, @PERSON4 and I were minding are business playing games while our grandpa was watching us play and then out of no were we here a loud smack and then crying and screaming. So it had turned out that @PERSON1 ""slipped"" and smacked @PERSON3 who is only seven years old.Then our grandpa starts yelling and trying to figure out what the heck went down. After seeing @PERSON3's back with a big red hand mark on it that's when grandpa really let loose and just started going ballistic all over @PERSON1 but then @PERSON1 went home all piste. So later on @PERSON1 came back and then grandpa and I sat at the table talking to him. That's when I mentioned something that started to make every one laugh so hard that they all forgot what happened then he said sorry to @PERSON3 and we were all happy by the time grandma got home from work.So to conclude my story I wish to remind you on why laughter is an element or if it plays a part in something which was a true story in part of my life. So thanks for listening and when you or someone is down in the dumps or just really mad, laughter is the medicine for the job.",30,laughter good kind medicine tell truth qoate tell true story laughter medicine recognize believe self explain key element world start tell story laughter fix ed grandpa caps1 cousin person1 start happen time date1 have blast cousin person2 person4 little brother person3 person1 person2 person4 mind business playing game grandpa watch play loud smack cry scream turn person1 slip smack person3 seven year oldthen grandpa start yell try figure heck go see person3s big red hand mark grandpa let loose start go ballistic person1 person1 go home piste later person1 come grandpa sit table talk mention start laugh hard forgot happen say sorry person3 happy time grandma get home workso conclude story wish remind laughter element play true story life thank listening dump mad laughter medicine job
" My best friend, @PERSON1 and I have been close ever since we were @NUM1. We met through @CAPS1 @CAPS2 lessons at our local dance studio. We've stayed close throughout the years because we've always done similar activities. We're very different from each other though. I'm more out going, I like to speak my mind and I'm more carefree. @CAPS4's the opposite. @CAPS4's very conservative and @CAPS4 can take things too seriously. But either way, we manage to even each other out. Finals week had just gotten over, and @LOCATION1 and I had been planning a sleepover all week. We just needed time to relax and have some time to ourselves. When I had gotten home from school, I gave her a quick call. ""@CAPS3?"" @CAPS4 answered. ""@CAPS5, @CAPS12 time did @CAPS16 wanna hang out?"" I asked. ""I was thinking @NUM2?"" ""@CAPS6 good!"" I quickly hung up the phone and gathered up my gear. I grabbed my toothbrush, pillow, pajamas, and my blanket. I put my shoes on and headed back out the door. My dad dropped me off with all of me gear. I had brought my pajamas, my pillow, and an extra blanket. I walked up her sidewalk to her door, knocked, and waited. Only seconds later did @CAPS4 answer it with a big smile across her face. @CAPS4 lead me down to her basement where @CAPS4 had all the junk food set out ready for us to attack. @CAPS4 had gone to the store earlier that day and had bought everything. @CAPS4 had set it all up on her old pool table that nobody used. There were chips, cookies, sodas, candy, chocolate, and pizza. I set my stuff down on the chair in the corner of the room and we feasted. Of course, we could eat all the food. We simply weren't big enough. After eating for almost an hour straight, we laid on her basement floor trying to gain composure. We started laughing at silly little things that came up on commercials on her big screen @CAPS7. Eventually, we got to talking about how each of our finals went. ""I did soo good on all of mine! I'm gonna get ALL A's"" @PERSON1 bragged. @CAPS4 has gotten straight A's every year since middle school. ""I think I did pretty @CAPS8 too, not so sure about a @NUM3 though."" I said as I was laying upside down on the floor. ""@CAPS8, we'll just see tomorrow!""  We finally decided to move ourselves over to the couch on the opposite side of the pool table, so we could face the @CAPS7. It was already @NUM4 in the @TIME1 and we were still on a sugar high. We switched back and forth from watching some old scary movie, and the top @NUM5 music videos of the week. That had passed some time and before we knew it, it was @NUM2 in the @TIME1. @PERSON1 and I were laying on opposite ends of each other. Occasionally, one of us would get some chips or candy from the table. We grew tired to the point where we couldn't keep our eyes open. No one even had enough energy to turn off the overhead light. We fell asleep fast. When I woke-up the next @TIME1, @PERSON1 wasn't laying across from me anymore. @CAPS4 was sitting in the corner chair where I had set my stuff. I looked at the clock, and it was already @NUM4:30 in the afternoon. I looked back and @LOCATION1, @CAPS4 seemed somewhat upset. I shifted around under my blanket so I could face her. ""@CAPS5..."" I grunted, while I was stretching. ""@TIME1."" @CAPS4 said abruptly. @CAPS4 was holding a folded piece of paper in her hand. ""@CAPS12's up?"" I asked, sitting up on the couch. @CAPS4 crumpled up the piece of paper and threw it at me. I picked it up from my lap and unfolded it. It was her report card. I scanned down the paper looking at all of her grades. @CAPS4 had received all A's... and one @CAPS13. @CAPS4 had gotten a @CAPS13 in her @CAPS15 class. I looked up from the paper to see her hands covering her face. I walked over to her kinda amused by how upset @CAPS4 was.  ""@CAPS16 got a @CAPS13... and @CAPS16're crying?"" I asked. @CAPS4 looked up at me quickly. I looked at her with a stupid face, and @CAPS4 busted out laughing. @CAPS4 felt so stupid for crying over @NUM8 @CAPS13. I stared laughing too. I knew my grades we be far worse. Heck, I'd be glad to get @CAPS13's. @PERSON1 and I are the perfect best friends. We even each other out. I tell her to lighten up, and @CAPS4 tells me to focus more. @CAPS16 can't take little things like that too seriously, it's just not worth the stress. Sometimes @CAPS16 just gotta relax, and maintain your focus. @CAPS16 have to find your perfect balance of work, and play.",40,good friend person1 close num1 meet caps1 caps2 lesson local dance studio ve stay close year ve similar activity different go like speak mind carefree caps4s opposite caps4 conservative caps4 thing seriously way manage final week get location1 plan sleepover week need time relax time get home school give quick caps3 caps4 answer caps5 caps12 time caps16 wanna hang ask think num2 caps6 good quickly hang phone gather gear grab toothbrush pillow pajama blanket shoe head door dad drop gear bring pajama pillow extra blanket walk sidewalk door knock wait second later caps4 answer big smile face caps4 lead basement caps4 junk food set ready attack caps4 go store early day buy caps4 set old pool table chip cookies sodas candy chocolate pizza set stuff chair corner room feast course eat food simply not big eat hour straight lay basement floor try gain composure start laugh silly little thing come commercial big screen caps7 eventually get talk final go soo good go to person1 brag caps4 get straight year middle school think pretty caps8 sure num3 say lay upside floor caps8 tomorrow finally decide couch opposite pool table face caps7 num4 time1 sugar high switch forth watch old scary movie num5 music video week pass time know num2 time1 person1 lay opposite end occasionally chip candy table grow tired point not eye open energy turn overhead light fall asleep fast wokeup time1 person1 not lay anymore caps4 sit corner chair set stuff look clock num430 afternoon look location1 caps4 somewhat upset shift blanket face caps5 grunt stretch time1 caps4 say abruptly caps4 hold fold piece paper hand caps12s ask sit couch caps4 crumple piece paper throw pick lap unfold report card scan paper look grade caps4 receive caps13 caps4 get caps13 caps15 class look paper hand cover face walk kinda amuse upset caps4 caps16 get caps13 caps16re cry ask caps4 look quickly look stupid face caps4 bust laugh caps4 feel stupid cry num8 caps13 stare laugh know grade far bad heck glad caps13s person1 perfect good friend tell lighten caps4 tell focus caps16 not little thing like seriously worth stress caps16 get to relax maintain focus caps16 find perfect balance work play
"   The day was not a fun one. We all just heard really bad news. None of us were even close to smiling. None of us. Even the people that you always see smiling, they had the most serious look on they're face. it was just a bad day. But then one of our friends, @PERSON1, had a great idea of going online to find something to cheer us up. It truly was a amazing idea. We spent hours on the computer just sitting there looking up ridiculous videos that we knew about. Trying to make each other laugh. That's when our day started to be a bit better. But it went back down a bit when a few people left to go home. Only three of us were still at @LOCATION1's house. @PERSON2, @PERSON1, and I were all sitting there watching @LOCATION2 when a show we all loved came on. Psych. It was a new episode too! what a great day it turned out to be. The show is full of really puny and dumb humor but it fit all three of us. @PERSON1 the most. We were all laughing and having a good time. @PERSON1 was laughing after the show was over. So we asked what was so funny. He just kept laughing. For five minuets he was laughing. when he finally stopped we asked again. What was so darn funny. then he told us. "" I was laughing at my own laugh. I sound really weird. "" that's when we all started laughing. how could he be laughing at his own laugh. we soon realized how hard it was to stop. it turned out to be a okay day after all of what happened. Now, when ever we are having a bad day. we just bring up that day where we laughed at our selves for ten minuets. And the day is all better.",31,day fun hear bad news close smile people smile look face bad day friend person1 great idea go online find cheer truly amazing idea spend hour computer sit look ridiculous video know try laugh day start bit well go bit people leave home location1s house person2 person1 sit watch location2 love come psych new episode great day turn puny dumb humor fit person1 laugh have good time person1 laugh ask funny keep laugh minuet laugh finally stop ask darn funny tell laugh laugh sound weird start laugh laugh laugh soon realize hard stop turn okay day happen have bad day bring day laugh self minuet day well
"@NUM1)I heard one true story about one normal @CAPS1 businessman. he wasn't that high levelin his company. @CAPS2 he always say hello to everyone in company with his big laugh.One day, the boss of company came to his company and asked everyone  who doingwork hardest?"" @CAPS2 nobody didn't answer that question. then the boss said ""or recommendsomeone for promote level"" and then everyone recommended that business man. Becausehe always say hello to everyone with big laugh. and he goes to highest level in his company except the boss. what I'm trying to say is the laugh make people happier. and when i was with my friends,laugh was make us more friendly. also laugh is good for health too. If you laugh a lotyour life is getting way more longer than before. of course it is good for mind too.that business man wasn't very good worker. He just made everyone happier to his laugh.that's why he could be a highest level of the company.I think laugh is really good for everything. and I also laugh a lot. I want people make happier.""",25,num1i hear true story normal caps1 businessman not high levelin company caps2 hello company big laughone day boss company come company ask doingwork hard caps2 not answer question boss say recommendsomeone promote level recommend business man becausehe hello big laugh go high level company boss try laugh people happy friendslaugh friendly laugh good health laugh lotyour life get way long course good mind toothat business man not good worker happy laughthat high level companyi think laugh good laugh lot want people happy
"The mood was sweet and the room was worm with most of my family and friends. except for my brother and at the time i was only about @NUM1 or @NUM2? Hell i can't really remember so I'm just going to guess on the age. Whatever getting back to the story, so I'm looking all around our @NUM1 story house trying to find my brother but for some reason this time it just seems impossible. And all I can hear in the back ground is my family laughing as this little @NUM1 or @NUM2 year old is running full speed up and down hallways and opening and closing doors to rooms that hes never been in be for. And also shouting at the top of his lungs ""@CAPS1 where you be at i can't finded you"". And with one more door to open that's at the beginning of the hallway where every one is sitting or standing. This little boy comes running down the hall in a panic who can't find his brother. And opens up the door and out pops @PERSON1 his brother who is wearing the scary monster mask and says ""I will get you tonight if you don't eat all your dinner"". So know what I did just as he told me to do. I ate my dinner so fast I ended up throwing up because a was so scared that he was going to come after me that night! And the funny thing is that this happened for the @DATE1 of my life so that the funny thing.",26,mood sweet room worm family friend brother time num1 num2 hell not remember go guess age get story look num1 story house try find brother reason time impossible hear ground family laugh little num1 num2 year old run speed hallway opening closing door room shout lung caps1 not find door open beginning hallway sit stand little boy comes run hall panic not find brother open door pop person1 brother wear scary monster mask say tonight not eat dinner know tell eat dinner fast end throw scared go come night funny thing happen date1 life funny thing
"@ORGANIZATION1 you think of a relationship, what do you think of? Do you think laughter is a big element in a relationship? Laughter meaning laughing sounds indicating merriment or derision. Many people have been in a relationship before from excellent to bad they knew @ORGANIZATION1 laughing with each other they enjoyed the enjoyment from one another. First of all @ORGANIZATION1 a couple is laughing they enjoy being together therefore it makes them want to spend more time with one another. Laughing by it's self let's the couple have a better beyond with each other. The couple would obtained a better connection to. Thus they would be able to understand each other. for example @ORGANIZATION1 a couple is just out having a excellent time they would want to keep sharing the wonderful beyond with each other. Another reason laughter is a element of a relationship it will end up letting the couple have a stronger relationship because thy would have a marvelous connection with each other therefore they would be able to understand each other. Therefore things between them would succeed in a stronger and better relationship. Next time you are in a relationship think about how laughter,is a element and how enjoyment, connection, more time with each other and stronger relationship all some how benefits just from laughter. So the next time you are laughing with your boyfriend or girlfriend think about what you guys are benefiting from just laughing with one another.",34,organization1 think relationship think think laughter big element relationship laughter mean laugh sound indicate merriment derision people relationship excellent bad know organization1 laugh enjoy enjoyment organization1 couple laugh enjoy make want spend time laughing self let couple well couple obtain well connection able understand example organization1 couple have excellent time want share wonderful reason laughter element relationship end let couple strong relationship thy marvelous connection able understand thing succeed strong well relationship time relationship think laughteris element enjoyment connection time strong relationship benefit laughter time laugh boyfriend girlfriend think guy benefit laugh
" Everyone loves to laugh; I don't think everyone understands the effect laughter can have on two people though. For example, there can be two complete strangers, who have never seen each other before in their life; as soon as they start laughing they could become good friends. You'll never know how close you can be with someone if you don't ever sit down and talk, laugh, and get to know them. You could go your whole life being at @CAPS4 with just a minute amount of friends but then there could be @NUM1 other classmates you've never talked to that could also become your friends, too. I'm sure just getting to know one another would make a difference in someones life because for me there has been many situations where laughing has made an impact on my relationship with someone; especially with my best friend, @PERSON1. When I first met my friend @PERSON1 we didn't know each other at all but laughing broke the ice. A simple laugh made us comfortable and everything was less awkward. As soon as we started laughing more and more, we couldn't stop; the rest was history. I went to elementary @CAPS4 with @PERSON1 for @NUM2 years and never talked to her but then when we got into @NUM3 grade we started hanging out with the same people and started talking more. By @NUM4 grade we began to hang out outside of @CAPS4 and talking, sharing secrets, and having sleep overs. But ""breaking the ice"" isn't the only impact laughing can have on a relationship. When I'm with @PERSON1, I know I can trust her and everything is fun. We always have conversations to talk and laugh about. You could say it made us closer. By the time @NUM5 grade came we were best friends, we had sleepovers every single weekend at one anothers house. When the @DATE1 before our @NUM6 grade year at the @CAPS3 @CAPS4 came we were spending weeks at each others houses. There wasn't a day that went by that we weren't together, talking, or making plans over the @DATE1 to hang out. Now, we can be ourselves around each other; we can always have a good time. Making people closer is just a small part of the effects that just one laugh can do to two people. When I'm sad about something @PERSON1 makes everything better; also vise versa; I make her feel better, too. We always have each others back. I know we will always be there for each other; I'll always have a shoulder to cry on. We have become such close friends that when @PERSON1 was having problems at home she needed a place to live in order for her to not have to go to The @CAPS1 @CAPS2 @CAPS3 @CAPS4, so she moved in with me! It has been the most fun living with her. We thought we would start to argue and not be as close since we would always be together and probably get annoyed of each other but we haven't. @PERSON1 and I can hang out @NUM7 and always be together; it's like having another sister.  @PERSON1 and I are super close, and she plans to stay living with me for the rest of @CAPS3 @CAPS4 until we graduate. It's amazing to think us being best friends and tremendously close, living together, always being together, and being totally comfortable with each other on everything just started out with a simple laugh when we first started talking in the @NUM3 grade. This is why I believe that just laughing can make two strangers, that have never even spoken, can turn into being the closest of friends.",42,love laugh not think understand effect laughter people example complete stranger see life soon start laugh good friend ll know close not sit talk laugh know life caps4 minute friend num1 classmate ve talk friend sure get know difference someone life situation laughing impact relationship especially good friend person1 meet friend person1 not know laugh break ice simple laugh comfortable awkward soon start laugh not stop rest history go elementary caps4 person1 num2 year talk get num3 grade start hang people start talk num4 grade begin hang outside caps4 talk share secret have sleep over break ice not impact laughing relationship person1 know trust fun conversation talk laugh close time num5 grade come good friend sleepover single weekend another house date1 num6 grade year caps3 caps4 come spend week house not day go not talk make plan date1 hang good time make people close small effect laugh people sad person1 make well vise versa feel well know ill shoulder cry close friend person1 have problem home need place live order caps1 caps2 caps3 caps4 move fun live think start argue close probably annoyed not person1 hang num7 like have sister person1 super close plan stay live rest caps3 caps4 graduate amazing think good friend tremendously close live totally comfortable start simple laugh start talk num3 grade believe laugh stranger speak turn close friend
"                     LaughterLaughter can change a lot in people,it can bring people together. It can also help with relationships to make the other person laugh is always a good thing. @CAPS2 your with your friends laughter can and will always be there, well i know it is with my friends and I. @CAPS2 your in a relationship or a friendship, @CAPS1 able to laugh with that other person is important because it can make you feel more connected to them,@CAPS2 you have a big group of friends that you just met you can all laugh together that's even better because then you know your getting somewhere.  My best friend and I laugh all the time, @CAPS3 can just look at me in a way I only understand and I'll know what @CAPS3 means, and then we both start laughing @CAPS2 we stand in a big group of friends and we start laughing, they all look at us funny. Then normally we tell them what were laughing about, most of the time they don't get it. My best friend and I are always together,besides school, we are always laughing no matter if its something that happened a day ago or a year ago. My best friend and i have a lot of inside jokes,we only have to bring one time of hanging out and if something funny happened we will start laughing about it again. In a relationship as in having a ""boyfriend"" or ""girlfriend"" one of the plus sides of things are to make them happy, and laugh, and love to be around you. My boyfriend does it to me, no matter if I'm not in a good mood he always tries to put a smile on my face, most of the time it works. @CAPS2 you have a boyfriend or girlfriend you always wanna try and make them happy. That means girls don't get over the stupid little things. Boys don't get mad @CAPS2 they want to hang out with there friends.  The best way to have a relationship with your boyfriend and your best friend is to make sure they don't hate one another, and if they do work it out in a way that you could hang out with your boyfriend one day and your best friend the other. My relationship works out amazing, because my best friend is dating my boyfriends best friend, so we can all hang out if we really wanted to and not fight it's nice to have all of us friends, that way we can go to the coast together and we can go out to dinner as a group. At this time we are thinking about planning a trip to the coast, and going there for a day were not totally sure though.  I think the best way to have a good relationship full of laughter is to make it your all. Just don't give your whole life to your boyfriend or girlfriend cause if you ever break up you won't have any friends, cause they won't want to hang out with you anymore because you left them for your boyfriend at the time. So i always try and tell my boyfriend that with out making it sound the wrong way. Normally the guys understand that you have a life too and it doesn't revolve around them. My friend did that once and @CAPS3 was not happy as all in the relationship,@CAPS3 told me they never laughed together or anything,@CAPS3 was afraid to break up with him though cause @CAPS3 would not have any friends,cause @CAPS3 made him her life.  Laughter can always make you feel better, it'd kinda like a healing process it will always be there, its just a matter if someone can make you laugh. Theirs people that can make you laugh and @CAPS4 and videos and family. @CAPS2 your with someone that makes you happy it is like you full of joy and enjoyment to be around them and you care for them and you feel comfortable around them. If you have struggles and get through them and they still make you laugh and happy you will know that they are the one your happy and can laugh around. Family always makes you laugh weather you don't want to or not, i love my dad he always knows how to make me laugh. ",31,laughterlaughter change lot peopleit bring people help relationship person laugh good thing caps2 friend laughter know friend caps2 relationship friendship caps1 able laugh person important feel connected themcaps2 big group friend meet laugh well know get good friend laugh time caps3 look way understand ill know caps3 mean start laugh caps2 stand big group friend start laugh look funny normally tell laugh time not good friend togetherbeside school laugh matter happen day ago year ago good friend lot inside jokeswe bring time hang funny happen start laugh relationship have boyfriend girlfriend plus side thing happy laugh love boyfriend matter good mood try smile face time work caps2 boyfriend girlfriend wanna try happy mean girl not stupid little thing boy not mad caps2 want hang friend good way relationship boyfriend good friend sure not hate work way hang boyfriend day good friend relationship work amazing good friend date boyfriend good friend hang want fight nice friend way coast dinner group time think plan trip coast go day totally sure think good way good relationship laughter not life boyfriend girlfriend cause break will not friend cause will not want hang anymore leave boyfriend time try tell boyfriend make sound wrong way normally guy understand life not revolve friend caps3 happy relationshipcaps3 tell laugh anythingcaps3 afraid break cause caps3 friendscause caps3 life laughter feel well kinda like healing process matter laugh theirs people laugh caps4 video family caps2 make happy like joy enjoyment care feel comfortable struggle laugh happy know happy laugh family make laugh weather not want love dad know laugh
" Laughter brings the world together in a way that cannot be put into words. When two people laugh together over the same thing, a special bond is made that is like no other. There is no way to describe the connection and how it can build a relationship. Every person on this @LOCATION2 will hopefully experience the bond that laughter brings. Last @DATE2, I was a member of a select lacrosse team and I didn't know any of the girls there. The team had five practices before the tournament and by the third practice, I still hadn't talked to many girls there. I was too shy to talk to these girls who all seemed to have a friend with them on the team. At the fourth practice, we were all stretching in a circle and I made a comment to one of the girls and she laughed. We began talking and throughout the rest of that practice, we talked and became friends. By making her laugh I had made a friend on the team and was even more excited for the upcoming tournament. The final practice was cut short so that the team could create tie-dye t-shirts to wear at the tournament. I sat down with @PERSON2, the girl I had become friends with at the previous practice, and her friend @PERSON1 came over to sit with us on the concrete. We all began talking and laughing with each other. Our shirts were tied with rubber bands and we were ready to put the dye onto them. We were laughing and making a mess of the multiple colors, having a good time and enjoying the warm night. As we finished our shirts and put the sopping wet clothing into plastic bags, we walked to the parking lot and said our goodbyes. I now had two friends on the team and could not wait to leave for the tournament that @DATE1. On a @DATE1 @TIME1, I woke up at @NUM1 am to meet the team at a park in @LOCATION1, OR. We were all meeting there to load our things into the three large white vans and to drive up as a team. I crawled into the van wearing my tie-dye t-shirt to see some of the girls looking tired and also sporting the tie-dyed shirts. @PERSON1 and @PERSON2 were in the back with another girl in between them so I sat in the row ahead of them. Some more girls from the team crammed into the van and we were on our way. During the @NUM2 @NUM3 hour car ride we slept, laughed and told stories. After being stuck in the car together for so long, we all bonded with each other over laughter and story telling. We each came from different cities, schools and backgrounds which made for a very entertaining car ride.  At the tournament, @PERSON1, @PERSON2 and I all stuck together. We walked around the fields, ate meals and laughed together almost the whole time. The only time we were apart was when roomates were assigned and we were not put in a room together. We all worked together as a team towards a common goal, winning games and making it to the championship. All of the girls on that team bonded in some way and even now, most of us are still in contact with each other.  Laughter is what brought @PERSON2 and me together and the rest of the team followed. The entire team bonded over laughter and we all became more comfortable with each other through laughing and having a good time. Putting @NUM4 girls together from entirely different cities could have been a major disaster, but we connected with each other by making other laugh, making it a positive experience for all involved. Laughter truly is the shortest distance between two people. Connecting with another human through laughter is an experience that everyone should have, it is so unique and powerful that friendships built on laughter can last a lifetime. Laughter makes the world a little better, a little brighter, and united together as one.",43,laughter bring world way word people laugh thing special bond like way describe connection build relationship person location2 hopefully experience bond laughter bring date2 member select lacrosse team not know girl team practice tournament practice not talk girl shy talk girl friend team fourth practice stretch circle comment girl laugh begin talk rest practice talk friend make laugh friend team excited upcoming tournament final practice cut short team create tiedye tshirt wear tournament sit person2 girl friend previous practice friend person1 come sit concrete begin talk laugh shirt tie rubber band ready dye laugh make mess multiple color have good time enjoy warm night finish shirt sopping wet clothing plastic bag walk parking lot say goodbye friend team wait leave tournament date1 date1 time1 wake num1 meet team park location1 meet load thing large white van drive team crawl van wear tiedye tshirt girl look tired sport tiedyed shirt person1 person2 girl sit row ahead girl team cram van way num2 num3 hour car ride sleep laugh tell story stick car long bond laughter story tell come different city school background entertaining car ride tournament person1 person2 stick walk field eat meal laugh time time apart roomate assign room work team common goal win game make championship girl team bond way contact laughter bring person2 rest team follow entire team bond laughter comfortable laugh have good time put num4 girl entirely different city major disaster connect make laugh make positive experience involve laughter truly short distance people connect human laughter experience unique powerful friendship build laughter lifetime laughter make world little well little bright unite
"Laughter is a @CAPS1 @CAPS2 do things like music, tears and laughter have in common? @CAPS19're all universal languages- @CAPS19 surpass any @CAPS1 barriers to get the point across without words. @CAPS21 was definitely the case the time my @CAPS3's best friend @PERSON3 came to visit from @LOCATION2.  I was eight at the time. I'd lived in @LOCATION1 all my life, and hearing other languages wasn't something that happened on a regular basis. When my @CAPS3 announced that her college roommate @PERSON3 was coming for a few days along with her family, I felt some apprehension at the idea of trying to talk to them. However, my @CAPS3 was encouraging. ""@CAPS4 will be a learning experience!"" was her enthusiastic war cry any time I whined. ""@CAPS5'll learn some @CAPS6, and @CAPS19'll learn some @CAPS7.""  @CAPS4 was a cold, stormy @ORGANIZATION2 day when @CAPS19 arrived. As @CAPS19 pulled their blue minivan into our driveway, I @CAPS12 felt shy. After all, I only had faint memories of my ""@CAPS9"" @PERSON3's visit years ago, and I'd never met the rest of her family. However, my sense of worry was soon replaced by @CAPS9 @PERSON3's rich voice: ""@CAPS11! @CAPS5've gotten so tall!"" @CAPS12 I was enfolded in her warm embrace, and I smelled the familiar smell of my @CAPS9: chocolate, detergent, and something spicy as if she'd just been cooking. Soon @ORGANIZATION1 had moved on to greeting my younger sister and I was left awkwardly standing next to @ORGANIZATION1's three children. I realized that I didn't know @CAPS2 to say- or even how to say anything to them. While @PERSON3 was bilingual, yet she didn't speak @CAPS7 around her children. There was a total @CAPS1 barrier. The awkwardness passed momentarily when the adults intervened. @PERSON3 bustled into our silent mass and began introducing us. Her oldest was tall, dark haired @PERSON1, who was the ancient and worldly age of twelve. Closest to my age was nine year old @CAPS14, who had a quick smile and a mischievous glint in her eye. The youngest, @PERSON2, was petite even for her tender age of four. I smiled and nodded as each was introduced, and smiled and nodded some more as @PERSON3 introduced me and my sister @CAPS15 to them. As @CAPS19 chattered back at her in @CAPS6, I marveled at how clever @CAPS19 seemed for speaking another @CAPS1. How, I wondered, did my @CAPS7 sound to them?  My @CAPS3 soon ushered us into the house. She had begun making dinner, and @PERSON3 joined her in our small kitchen to ""catch up on life."" For a while, we kids stayed close to our parents, like birds hesitating to leave the nest. Soon, however, @CAPS4 became apparent that seven people was too many to fit in one kitchen. ""@CAPS18 don't @CAPS5 go show them your rooms?"" my @CAPS3 suggested. ""@CAPS19 still haven't met @CAPS20!"" @CAPS21 seemed like a good idea, since @CAPS20, our cat, was friendly to anyone and everyone. @CAPS15 and I led the way to to find him while the @CAPS23 talked in hushed @CAPS6 voices behind us.  As we got to the living room, @PERSON2 @CAPS12 let out a squeal. She ran across the floor to @CAPS20, who had been napping in the sun. I was worried that she would startle him, but the overweight tabby simply got up sleepily and yawned. And then, to our amazement, @CAPS20 did something he'd never done before. He jumped up and placed his hind legs on @PERSON2's chest. He was a large cat, and she was small, so @CAPS4 turned out so that he was looking her in the eye. For a moment, @CAPS19 looked at each other, surprised, and then she fell down into a sitting position. Worried she might cry, I started to go over to help, but then something entirely different escaped out of her mouth: the contagious laugh of a four year old. For a moment, there was a surprised silence from the rest of us as she howled at the hilarity of @CAPS4, but soon we couldn't help but join in. And in that moment, I realized that we didn't even have to learn each other's languages- the laughter that we'd shared had broken the ice and the @CAPS1 barrier.  I still remember that visit fondly today, because @CAPS4's the first time that I realized how alike other cultures are to our own. True, we had a hard time relating at the beginning. But by the end, we had become friends, all because of a cat, a four year old, and the one @CAPS1 we did have in common- laughter.",46,laughter caps1 caps2 thing like music tear laughter common caps19re universal language caps19 surpass caps1 barrier point word caps21 definitely case time caps3s good friend person3 come visit location2 time live location1 life hear language not happen regular basis caps3 announce college roommate person3 come day family feel apprehension idea try talk caps3 encourage caps4 learning experience enthusiastic war cry time whine caps5ll learn caps6 caps19ll learn caps7 caps4 cold stormy organization2 day caps19 arrive caps19 pull blue minivan driveway caps12 feel shy faint memory caps9 person3s visit year ago meet rest family sense worry soon replace caps9 person3s rich voice caps11 caps5ve get tall caps12 enfold warm embrace smell familiar smell caps9 chocolate detergent spicy shed cook soon organization1 move greet young sister leave awkwardly stand organization1s child realize not know caps2 person3 bilingual not speak caps7 child total caps1 barrier awkwardness pass momentarily adult intervene person3 bustle silent mass begin introduce old tall dark haired person1 ancient worldly age close age year old caps14 quick smile mischievous glint eye young person2 petite tender age smile nod introduce smile nod person3 introduce sister caps15 caps19 chatter caps6 marvel clever caps19 speak caps1 wonder caps7 sound caps3 soon usher house begin make dinner person3 join small kitchen catch life kid stay close parent like bird hesitate leave nest soon caps4 apparent seven people fit kitchen caps18 not caps5 room caps3 suggest caps19 not meet caps20 caps21 like good idea caps20 cat friendly caps15 lead way find caps23 talk hush caps6 voice get living room person2 caps12 let squeal run floor caps20 nap sun worried startle overweight tabby simply get sleepily yawned amazement caps20 jump place hind leg person2s chest large cat small caps4 turn look eye moment caps19 look surprised fall sit position worry cry start help entirely different escape mouth contagious laugh year old moment surprised silence rest howl hilarity caps4 soon not help join moment realize not learn language laughter share break ice caps1 barrier remember visit fondly today caps4 time realize alike culture true hard time relate beginning end friend cat year old caps1 common laughter
